Letter count,Frequency,Letter,Scan Steps,FreqXScanSteps
4907,0.180212274,_,0,0
2504,0.091960777,e,1,0.091960777
2020,0.074185611,o,2,0.148371222
1870,0.068676778,t,1,0.068676778
1769,0.064967498,h,3,0.194902494
1759,0.064600242,a,2,0.129200485
1544,0.056704249,n,2,0.113408498
1487,0.054610893,s,3,0.163832678
1349,0.049542767,i,3,0.148628301
938,0.034448566,r,3,0.103345698
921,0.033824232,l,4,0.135296926
818,0.0300415,d,4,0.120165999
800,0.02938044,y,5,0.1469022
798,0.029306989,w,6,0.175841933
745,0.027360535,u,5,0.136802674
706,0.025928238,m,4,0.103712953
681,0.0250101,g,5,0.125050498
389,0.014286239,b,5,0.071431195
330,0.012119431,k,6,0.072716589
319,0.01171545,c,4,0.046861802
213,0.007822542,f,4,0.031290169
168,0.006169892,p,5,0.030849462
121,0.004443792,v,6,0.026662749
53,0.001946454,j,7,0.013625179
11,0.000403981,x,6,0.002423886
5,0.000183628,q,7,0.001285394
4,0.000146902,z,8,0.001175218
,,,SxF,Ê3.8986007565463296